Date,Actual,Predicted
2018-06-14,154.97,154.54058977179258
2018-06-15,153.69,155.8193605868078
2018-06-16,153.36,154.42976310923507
2018-06-17,151.83,154.17819757964978
2018-06-18,152.0,152.65015582523057
2018-06-19,149.99,152.7764279740201
2018-06-20,150.77,150.71609198679127
2018-06-21,150.35,151.54263773125842
2018-06-22,151.42,151.1209679436816
2018-06-23,152.14,152.19702845391035
2018-06-24,152.67,152.86119853671073
2018-06-25,152.42,153.41941731803345
2018-06-26,152.28,153.1220478226602
2018-06-27,153.1,152.94453859979018
2018-06-28,151.88,153.81434138775293
2018-06-29,151.36,152.55405962784315
2018-06-30,151.19,152.04244325618342
2018-07-01,151.3,151.8628900396322
2018-07-02,151.78,151.95109772976997
2018-07-03,150.87,152.4803274497048
2018-07-04,149.35,151.53843819588457
2018-07-05,148.1,150.04258332158938
2018-07-06,148.18,148.75631523969983
2018-07-07,148.14,148.9067099971013
2018-07-08,147.73,148.8346465486475
2018-07-09,145.36,148.4470389312894
2018-07-10,143.69,146.06994548772605
2018-07-11,143.72,144.3515365535028
2018-07-12,143.45,144.4167019350154
2018-07-13,144.42,144.12380017618213
2018-07-14,143.59,145.09649814125973
2018-07-15,142.07,144.2877269339207
2018-07-16,140.95,142.78118052472445
2018-07-17,140.95,141.6458582268061
2018-07-18,140.93,141.63223232479393
2018-07-19,141.2,141.61540924070235
2018-07-20,141.16,141.9395144101366
2018-07-21,140.93,141.87873415092443
2018-07-22,139.5,141.70520576826007
2018-07-23,138.29,140.22033925104253
2018-07-24,139.15,139.0178052994307
2018-07-25,139.79,139.86497194057534
2018-07-26,139.75,140.57245097408065
2018-07-27,139.5,140.48474173486025
2018-07-28,139.0,140.21713010222797
2018-07-29,140.35,139.68529607715217
2018-07-30,139.5,141.1356416229524
2018-07-31,138.3,140.26624797414084
2018-08-01,137.41,139.07384743278908
2018-08-02,138.57,138.13759938745116
2018-08-03,138.57,139.31670517914603
2018-08-04,140.15,139.27102383941858
